,title,categories,article_lenght,views,refs_count,link_count,death,locations,end_date_clean,ongoing
927764,Bombing of Warsaw in World War II,military conflict,7878,106587,6,34,"6,000 - 7,000",Warsaw  Q270,1939.0,False
929735,Case White,military conflict,63937,80881,2,217,"'''German casualties:'''<br>514–583 killed, 1,214–1,642 wounded, 145–158 missing <br>'''Italian casualties:'''<br>1,605 killed, 983 captured <br>'''Croatian casualties:'''<br>126 killed, 258 wounded, 218 missing <hr>'''Chetnik casualties:'''<br>2,000–3,000 <hr>'''Total Axis casualties:'''<br>7,000–8,600",Herzegovina  Q189863,1943.0,False
930178,Azov campaigns (1695–96),military conflict,7990,28119,7,79,,Moldavia  Q10957559,1696.0,False
930692,Romanian Revolution,civil conflict,65830,697238,54,282,+1104,Socialist  Republic  of  Romania  Q842794,1989.0,False
932493,Battle of the Zab,military conflict,4117,65395,2,34,,Great  Zab  Q756018,750.0,False
932578,Russo-Turkish War (1676–1681),military conflict,8691,18303,6,72,Unknown,Chyhyryn  Q161980,1681.0,False
932625,Russo-Turkish War (1686–1700),military conflict,4684,54654,7,58,Unknown,Crimean  Peninsula  Q7835,1700.0,False
932647,Pruth River Campaign,military conflict,11130,66706,12,78,Unknown,Prut  Q182445,1711.0,False
933322,Wars of the Three Kingdoms,military conflict,36810,556046,4,174,"50,000 English and Welsh",Kingdom  of  England  Q179876|Kingdom  of  Ireland  Q215530|Kingdom  of  Scotland  Q230791,1651.0,False
933377,Iraqi insurgency (2003–06),military conflict,49632,52284,11,144,,Iraq  Q796,2006.0,False
933642,Russo-Turkish War (1735–1739),military conflict,14316,41612,13,101,,The  Balkans and  Eastern  Europe,1739.0,False
935534,Aceh War,military conflict,41280,112116,74,140,"37,000 killed (including by cholera)",Sumatra  Q3492,1904.0,False
935669,Fenian raids,military conflict,25645,326447,19,126,8 killed,Canada  Q16,1871.0,False
935895,First Anglo-Sikh War,military conflict,20511,382506,7,107,,Punjab  Q169132,1846.0,False
935946,Second Anglo-Sikh War,military conflict,24919,247360,11,171,,Punjab  Q169132,1849.0,False
936661,Bombing of Berlin in World War II,military conflict,55057,346956,56,219,,Berlin  Q64,1945.0,False
937609,2004 Republican National Convention protest activity,civil conflict,34692,22447,53,75,,New  York  City|New  York,,False
938078,Operation Nordwind,military conflict,14246,212229,5,112,"{{flag|United States|1912}} 11,609 -14,716 {{efn|As elsewhere, casualty figures are only rough estimates, and the figures presented are based on the postwar ""Seventh Army Operational Report, Alsace Campaign and Battle Participation, 1 June 1945"" (copy CMH), which notes 11,609 Seventh Army battle casualties for the period, plus 2,836 cases of trench foot and 380 cases of frostbite, and estimates about 17,000 Germans killed or wounded with 5,985 processed prisoners of war. But the VI Corps AAR for January 1945 puts its total losses at 14,716 (773 killed, 4,838 wounded, 3,657 missing, and 5,448 nonbattle casualties); and Albert E. Cowdrey and Graham A. Cosmas, ""The Medical Department: The War Against Germany,"" draft CMH MS (1988), pp. 54-55, a forthcoming volume in the United States Army in World War II series, reports Seventh Army hospitals processing about 9,000 wounded and 17,000 ""sick and injured"" during the period. Many of these, however, may have been returned to their units, and others may have come from American units operating in the Colmar area but still supported by Seventh Army medical services. Von Luttichau's ""German Operations,"" ch. 29, pp. 39-40, puts German losses at 22,932.}} killed and wounded<br> {{flag|France|1830|23px}} 2,000 {{rp|922}}",Alsace  Q1142,1945.0,False
938396,Battle of Lang Vei,military conflict,31218,59611,11,71,90 killed<br>220 wounded<br>7 tanks destroyed or damaged,Quảng  Trị  Q36579,1968.0,False
943082,Croatian–Slovene Peasant Revolt,military conflict,9617,14997,5,69,"3,000–5,000 {{sfn|Čečuk|1960|p|=|500}} killed",Northwest  Kingdom  of  Croatia  Habsburg Croatia|Duchy  of  Carniola Carniola and  Duchy  of  Styria Styria|Habsburg  Monarchy,1573.0,False
947807,Lamian War,military conflict,9894,64225,9,70,,Greece  Q41,322.0,False
950767,Siege of Jerusalem (1099),military conflict,23363,446494,33,107,"3,000-4,000",Jerusalem  Q1218,1099.0,False
951836,Battle of Umm Diwaykarat,military conflict,3564,55367,0,32,"3 killed, 23 wounded",Kordofan  Q867052,1899.0,False
951969,Baltimore riot of 1861,military conflict,31529,110248,40,152,"4 (soldiers) killed, 36 wounded",Baltimore  Q5092,1861.0,False
953371,Battle of the Neva,military conflict,12783,63340,14,78,,Neva  Q645,1240.0,False
955945,Operation Igloo White,military conflict,41539,57592,66,83,,Southern  Laos,1973.0,False
957070,Battle of Sadras,military conflict,9987,15771,3,61,"32 killed, 83 wounded",Bay  of  Bengal  Q38684,1782.0,False
957301,Battle of Cynwit,military conflict,6117,104327,2,36,Unknown,Cannington  Camp  Q5032713|Countisbury  Q1994485,878.0,False
959661,Operation Swift,military conflict,10161,31162,1,49,,Quế  Sơn  District Quế  Sơn  Valley|South  Vietnam,1967.0,False
960710,Battle of Lissa (1866),military conflict,28146,148889,14,84,2 ironclads sunk<br>620 dead<br>40 wounded,Adriatic  Sea  Q13924,1866.0,False
964136,Battle of Orsha,military conflict,16758,49537,15,131,Unknown,Orsha  Q208609,1514.0,False
966089,Battle of Alton,military conflict,23495,24198,25,70,100+<br> 500+ captured,Alton  Q443840,1643.0,False
970253,Battle of Trocadero,military conflict,4986,28099,0,34,31 Dead<br/>110 Wounded,Cádiz  Q15682,1823.0,False
975053,War of the Reunions,military conflict,11910,80284,22,61,,Spanish  Netherlands  Q622783,1684.0,False
977501,Penobscot Expedition,military conflict,39449,119071,50,149,25 killed<br>35 wounded<br>26 captured,Penobscot  Bay  Q754365,1779.0,False
979204,Western Desert Campaign,military conflict,95064,384366,118,272,,Western  Desert  Q14314106,1943.0,False
982134,Battle of Focchies,military conflict,4298,35530,0,19,9 sailing ships lost<br />3 galleasses burnt<br />2 galleys burnt,Phocaea  Q428732,1649.0,False
982441,Battle of Westerplatte,military conflict,47031,209925,57,204,15 dead<br>at least 40 wounded<br>Remainder captured,Westerplatte  Q517081,1939.0,False
983126,Battle of Ia Drang,military conflict,89376,1524389,95,139,"499–1,700",Ia  Drang  Valley  Q2904975,1965.0,False
983739,Battle of Natural Bridge,military conflict,9152,48357,5,60,148 total<br>21 killed<br>89 wounded<br>38 captured,Woodville  Q2058213,1865.0,False
984310,Battle of Long Tan,military conflict,149334,412611,13,235,18 killed<br>24 wounded,Long  Tân  Q3138964,1966.0,False
984708,Lwów uprising,military conflict,7010,5362,3,44,,Lviv  Q36036,1944.0,False
987216,Battle of Beaver Dams,military conflict,20065,60733,22,59,5–15 killed<br>20–25 wounded,Thorold  Q448120,1813.0,False
988122,Battle of Spion Kop,military conflict,29493,248936,25,111,"{{ubl|243 killed|1,250 wounded|ref| name=""BritishBattles""|{{cite web|url=http://britishbattles.com/great-boer-war/spion-kop.htm|title=The Battle of Spion Kop|publisher=British Battles|accessdate=2008-05-31| archiveurl= https://web.archive.org/web/20080525130716/http://www.britishbattles.com/great-boer-war/spion-kop.htm| archivedate= 25 May 2008 <!--DASHBot-->| deadurl= no}}|</ref>}}",Spioenkop|38  km  west- southwest  of  Ladysmith|South  Africa Ladysmith,1900.0,False
988219,East African Campaign (World War II),military conflict,124185,441339,0,501,"Military operations to April 1941: 75,704<br />11,130 killed<br />Sickness/accident: 74,550<br />(dysentery: 10,000<br />malaria: 10,000, fatal: 744)<br />Belgian: 462 dead<br />Aircraft: 138<br />Subsequent operations: Gondar, 32 killed, 182 wounded, 6 missing<br />15 aircraft",East  Africa  Q27407,1941.0,False
989069,Battle of Annual,military conflict,15552,108532,24,64,800 casualties,Annual  Q567355,1921.0,False
990758,Battle of the Dardanelles (1656),military conflict,7304,9900,7,37,,Dardanelles  Q6514,1656.0,False
990829,United States occupation of Veracruz,military conflict,26020,339884,30,139,22 killed<br />70 wounded<br/>1 drowned,Veracruz  Q173270,1914.0,False
990954,First Barons' War,military conflict,17543,384373,3,115,,Kingdom  of  England  Q179876,1217.0,False
993445,Battle of Arras (1917),military conflict,70847,415260,5,178,"158,000",Arras  Q131329,1917.0,False
994822,Zhuge Liang's Northern Expeditions,military conflict,34548,55937,54,292,,Gansu  Q42392,234.0,False
996468,Operation Brevity,military conflict,37974,61468,2,156,206+ casualties<br />5 tanks destroyed<br />6 aircraft destroyed,Egyptian  and  Libyan  border,1941.0,False
997586,Battle of Beth Zechariah,military conflict,5385,16500,2,46,,Beth- Zechariah|near  modern  day  Alon  Shvut|West  Bank,162.0,False
998058,Battle of Dan-no-ura,military conflict,7461,109190,5,62,,Dan- no- Ura  Q10931453,1185.0,False
998780,Seven Days Battles,military conflict,60392,345175,68,226,"'''15,849'''<br>1,734 killed<br>8,062 wounded<br>6,053 missing/captured </div>",Hanover  County  Q341679,1862.0,False
998807,Arctic convoys of World War II,military conflict,34448,174502,10,249,85 merchant vessels<br />16 warships,Norwegian  Sea  Q47545|Arctic  Ocean  Q788,1945.0,False
999748,Battle of Guantánamo Bay,military conflict,36652,79157,16,137,29 killed or wounded<br/>1 cruiser damaged,great  empire  magic  bay  Q208035,1898.0,False
999895,Haitian Revolution,military conflict,127249,1922912,143,319,"Haitians: {{plainlist|
*200,000 dead|ref| name=""Scheina""|{{cite book|last1=Scheina|title=Latin America's Wars|publisher=Potomac Books|page=1772}}|</ref>|
*British: 45,000 dead|ref| name=""Scheina""}} *British: 45,000 dead",Saint- Domingue  Q861551,1804.0,False
1000710,Battle of the Barents Sea,military conflict,16684,164822,0,68,1 destroyer sunk<br />1 destroyer damaged<br />1 minesweeper sunk<br />250 killed,Barents  Sea  Q45823,1942.0,False
1002718,Battle of Kohima,military conflict,46383,271594,116,155,"4,064",Kohima  Q234056,1944.0,False
1002973,Battle of the Tennis Court,military conflict,13866,50047,0,64,"4,604",Kohima  Q234056,1944.0,False
1003234,Battle of Imphal,military conflict,40704,312366,32,176,"12,603 killed and wounded",Imphal  Q208097,1944.0,False
1003888,Battle of Chaldiran,military conflict,17140,210855,31,89,"Heavy losses <br />or less than 2,000",Chaldoran  Q5068668,1514.0,False
1006085,Siege of Haarlem,military conflict,9818,29369,1,73,"2,000 dead or wounded<br>(Haarlem)<br>700 - 5,000 dead or wounded<br>(William the Silent)",Haarlem  Q9920,1573.0,False
1006359,Wakefield massacre,civilian attack,8148,86894,3,58,+7,Wakefield  Q2426909,2000.0,False
1006880,Battle of the Metaurus,military conflict,20578,100748,9,78,"'''[[Polybius]]''':<br>2,000 Romans killed<br>'''[[Livy]]''':<br>8,000 Romans and allies killed",Metauro  Q653678,207.0,False
1007711,May Uprising in Dresden,military conflict,8797,40828,1,46,"200 killed <br> ~1,200 captured",Dresden  Q1731,1849.0,False
1008120,Battle of Đồng Xoài,military conflict,27658,11825,34,90,126 bodies recovered inside recaptured compounds; several hundred more strewn over the battlefield,Dong  Xoai  Q665981,1965.0,False
1010115,Battle of Groton Heights,military conflict,28873,137744,55,98,85 killed<br />60 wounded (many mortally),New  London  Q49146,1781.0,False
1012283,Battle of Fleurus (1622),military conflict,11818,17281,9,57,"5,000 dead, wounded or captured",Fleurus  Q314922,1622.0,False
1012623,Aktion Erntefest,civilian attack,13728,126787,8,83,"43,000",Lublin- Majdanek  concentration  camp  Q160135,1943.0,False
1014346,Eastern Front (World War I),military conflict,80069,1009239,66,284,"{{ubl|flagdeco|German Empire| '''1,468,811 – 2,094,953:'''
*173,858+ killed
*1,151,153 wounded
*143,818 captured
|sfn|McRandle & Quirk|2006|p|=|697|ref| name=""TsSU33""|Россия в мировой войне 1914—1918 (в цифрах). —  М.: ЦСУ, 1925. — Табл. 33. — С. 41.|</ref>|ref|""Sanitatsbericht fiber das Deutsche Heer... im Weltkriege 1914–1918"", Bd. Ill, Berlin, 1934, S. 151. 149,418 casualties in 1914, 663,739 in 1915, 383,505 in 1916, 238,581 in 1917, 33,568 in 1918. Note: the document notes that records for some armies are incomplete.|</ref>|ref|Churchill, W. S. (1923–1931). ''The World Crisis'' (Odhams 1938 ed.). London: Thornton Butterworth. [https://books.google.com/books?id=6l6Fgnz8fXIC&printsec=frontcover&dq=Churchill%27s+The+World+Crisis+(revised+1937+edition&hl=en&sa=X&ved=0ahUKEwjgpt3H75zRAhVB2WMKHdKhCqgQ6AEIHDAA#v=onepage&q=1%2C493%2C000&f=false Page 558.] Total German casualties for ""Russia and all other fronts"" (aside from the West) are given as 1,693,000 including 517,000 dead.|</ref>|flagdeco|Austria-Hungary| '''4,377,000:'''|ref|Bodart, Gaston: ""Erforschung der Menschenverluste Österreich-Ungarns im Weltkriege 1914–1918"", Austrian State Archive, War Archive Vienna, Manuscripts, History of the First World War, in general, A 91. Reports that 60% of Austro-Hungarian killed/wounded were incurred on the Eastern Front (including 312,531 out of 521,146 fatalities). While the casualty records are incomplete (Bodart on the same page estimates the missing war losses and gets a total figure of 1,213,368 deaths rather than 521,146), the proportions are accurate. 60% of casualties [[World War I casualties#Austria-Hungary|equates to]] 726,000 dead and 2,172,000 wounded.|</ref>|ref|Volgyes, Ivan. (1973). ""Hungarian Prisoners of War in Russia 1916–1919"". ''Cahiers Du Monde Russe Et Soviétique'', 14(1/2). Page 54. Gives the figure of 1,479,289 prisoners captured in the East, from the Austro-Hungarian Ministry of Defence archives.|</ref>|730,000 killed|2,172,000 wounded|1,479,000 missing or captured|flagdeco|Ottoman Empire| '''45,000:'''|ref|Erickson, Edward J. ''Ordered to die : a history of the Ottoman army in the first World War'', p. 147. Total casualties of 20,000 are given for the VI Army Corps in Romania.|</ref>|ref|Atlı, Altay (25 September 2008). ""Campaigns, Galicia"". turkesywar.com. Archived from the original on 20 July 2011. Total casualties of 25,000 are given for the XV Army Corps in Galicia.|</ref>|10,000 captured|ref| name=Yanikdag|{{cite book|last= Yanikdag|first=Yucel |title=Healing the Nation: Prisoners of War, Medicine and Nationalism in Turkey, 1914–1939|year=2013|publisher=[[Edinburgh University Press]]|location=Edinburgh|isbn= 978-0-7486-6578-5|url=https://books.google.com/?id=ApYNvVsjamEC&pg=PA3 |page=18}}|</ref>|
|flagdeco|Kingdom of Bulgaria| '''30,250'''|ref|Министерство на войната (1939), p. 677 (in Bulgarian)|</ref>|ref|Симеонов, Радослав, Величка Михайлова и Донка Василева. Добричката епопея. Историко-библиографски справочник, Добрич 2006, с. 181 (in Bulgarian|</ref>}} ----
'''Total: <br /> 5,900,000 – 6,500,000 casualties''' {{flagdeco|German Empire}} '''1,468,811 – 2,094,953:'''
*173,858+ killed
*1,151,153 wounded
*143,818 captured {{sfn|McRandle & Quirk|2006|p|=|697}} {{flagdeco|Austria-Hungary}} '''4,377,000:''' {{flagdeco|Ottoman Empire}} '''45,000:''' {{flagdeco|Kingdom of Bulgaria}} '''30,250'''",Central  Europe  Q27509|Eastern  Europe  Q27468,1918.0,False
1015491,Second Battle of Sabine Pass,military conflict,19367,64764,16,95,~200 killed wounded or captured<br/>2 gunboats sunk,Jefferson  County  Q156471,1863.0,False
1015626,Battle of Ridgeway,military conflict,30249,76850,25,97,6–8 killed<br>16 wounded,Ridgeway  Battlefield  Q19593653,1866.0,False
1017527,Cristero War,military conflict,74008,595281,97,226,"{{flagicon|Mexico|1916|size|=|23px}} 56,882 dead",Mexico  Q96,1929.0,False
1018445,Second Battle of Kharkov,military conflict,42176,213675,50,185,"~20,000–30,000 men {{sfn|Forczyk|2013|p|=|90}} <br>108 tanks destroyed {{sfn|Forczyk|2013|p|=|90}} <br>49 aircraft destroyed <br>12 airmen killed <br>98 airmen missing",Kharkiv  Q42308,1942.0,False
1021687,Revolt of 1173–74,military conflict,10224,72889,3,90,,England  Q21,1173.0,False
1026131,First day on the Somme,military conflict,128077,367590,0,346,"British: 57,470 including 19,240 killed<br />French: 7,000",Somme  Q12770,1916.0,False
1026529,Battle of Killdeer Mountain,military conflict,14395,28432,15,82,"5 dead, 10 wounded.",Dakota  Territory  Q1117425,,False
1026842,Daegu subway fire,civilian attack,11785,140347,4,63,+192,Daegu  Q20927,2003.0,False
1027093,Sinai and Palestine Campaign,military conflict,170218,359233,394,487,"{{flagicon|United Kingdom}} 61,877 battle casualties
* 16,880 killed/missing
* 43,712 wounded
* 1,385 captured
5,981+ died of disease<br> {{circa|100,000+}} evacuated sick
----
'''Total: 168,000+ casualties'''",Levant  Q81483|Egypt  Q79|Sinai  Peninsula  Q36755|Syria  Q858,1918.0,False
1029749,Cornish rebellion of 1497,military conflict,15225,29367,5,98,Estimated 1000 dead,Cornwall  Q23148,1497.0,False
1031666,Highway of Death,military conflict,21084,726421,18,100,None,The  roads  out  of  Kuwait  City towards  Ba athist  Iraq Iraq,1991.0,False
1032342,Withdrawal of U.S. troops from Iraq,military conflict,30111,375398,46,108,,Iraq  Q796,2011.0,False
1032766,Little Round Top,military conflict,33855,287994,39,138,"{{plainlist|
* 134 killed
* 402 wounded
* 29 missing}}",Gettysburg  Q694550,1863.0,False
1032967,First Anglo-Maratha War,military conflict,14204,360412,11,111,"~34,000 killed or wounded",Pune  Q1538,1782.0,False
1032975,Bombing of Wieluń,military conflict,27589,55520,34,89,at least 127 civilian casualties,Wieluń  Q101530,1939.0,False
1033063,Operation Krohcol,military conflict,20339,23751,12,78,,Malaysia  Federal  Route  77  Q6741847,1941.0,False
1033164,Pancho Villa Expedition,military conflict,56857,452318,97,179,,Chihuahua  Q655,1917.0,False
1035593,Battle of Baxter Springs,military conflict,8027,41603,6,53,"2 killed, 2 wounded",Cherokee  County  Q376640,1863.0,False
1035602,Lawrence massacre,military conflict,36176,148222,44,147,164 civilians,Lawrence  Q493840,1863.0,False
1035611,Battle of Marais des Cygnes,military conflict,11566,16066,6,52,Unknown,Linn  County  Q376053,1864.0,False
1035622,Battle of Mine Creek,military conflict,10827,39660,4,64,100,Linn  County  Q376053,1864.0,False
1037938,Battle of Molino del Rey,military conflict,7847,38453,2,57,116 killed<br>665 wounded<br>18 missing {{rp|310}},Mexico  City  Q1489,1847.0,False
1042635,Battle of Alam el Halfa,military conflict,35687,131846,45,130,"1,750 killed, wounded or captured <br />68 tanks <br />67 aircraft",El  Alamein  Q204439,1942.0,False
1043744,Battle of the Vosges,military conflict,4739,12109,0,43,Unknown,Vosges  Mountains  Q187843,1794.0,False
1044490,Battle of Sentinum,military conflict,9835,36048,7,41,"8,700 killed",Sassoferrato  Q124886,295.0,False
1044500,Battle of Camerinum,military conflict,1899,7308,2,16,,Camerinum  modern  Camerino|Italy,298.0,False
1046048,Battle of Graus,military conflict,7345,10673,9,49,,Graus  Q937763,1063.0,False
1046985,Battle of Öland,military conflict,34964,61248,43,140,+1500,Baltic  Sea  Q545,1676.0,False
1047364,Białystok Ghetto uprising,military conflict,8826,11402,8,55,9 Germans Wounded,Białystok  Ghetto  Q702654,1943.0,False
1048241,Operation Days of Penitence,military conflict,38730,14653,15,271,1 soldier,Gaza  Strip  Q39760,2004.0,False
1048500,Battle of Gergovia,military conflict,10263,115477,9,42,"According to [[Julius Caesar]]: 46 centurions and 700 legionaries but modern estimates several thousands Roman and Aedui killed, 6,000 wounded {{Citation needed|date|=|December 2016}}",Gergovie  Q3189964,,False
1048709,Battle of Baltimore,military conflict,32142,354988,30,157,"'''North Point:'''<br>24 killed,<br>139 wounded,<br> 50 captured<br>'''Fort McHenry:'''<br>4 killed,<br>24 wounded<br>'''Total:'''<br>28 killed,<br> 163 wounded,<br>50 captured",Baltimore  Q5092,1814.0,False
1048808,Battle of Wippedesfleot,military conflict,2574,10883,1,27,,Ebbsfleet  Q5331558,466.0,False
1051822,Battle of Chesma,military conflict,13065,65197,6,64,1 ship of the line<br/>4 fire ships<br/>534 — 661 killed<br/>40 wounded,Chios  Q160483|Çeşme  Q217720,1770.0,False
1053397,Battle of Jasmund (1864),military conflict,17102,13791,18,85,"*1 frigate damaged
*5 dead
*8 wounded",Rügen  Q3237,1864.0,False
1053409,Angolan War of Independence,military conflict,98865,294833,75,437,"~10,000 Total",Angola  Q916,1975.0,False
1054350,Grattan massacre,military conflict,14090,61165,14,74,2 killed,East  of  Fort  Laramie  National  Historic  Site Fort  Laramie|Nebraska  Territory,1854.0,False
1055471,Northwest Indian War,military conflict,42948,355703,14,308,"1,221 killed<br />458 wounded",Northwest  Territory  Q669315,1795.0,False
1055744,Battle of Inchon,military conflict,60808,1058133,66,334,'''Land:'''<br/>'''US''': 222 killed<br/>800 wounded<br/>'''Sea:'''<br/>2 killed<br/>9 wounded<br/>2 cruisers damaged<br/>3 destroyers damaged<br/>1 armed sampan damaged<br/>1 LST lost and 3 damaged<br/>'''Air:'''<br/>1 aircraft destroyed,Incheon  Q20934,1950.0,False
1056186,Battle of Watling Street,military conflict,17635,347317,33,108,400 dead,Watling  Street  Q1434239,,False
1056452,Ten Years' War,military conflict,27476,156658,12,131,"50,000 rebels dead {{sfn|Clodfelter|2017|p|=|306}} <br />100,000 civilians dead {{sfn|Clodfelter|2017|p|=|306}}",Cuba  Q241,1878.0,False
1057630,Battle of Dunbar (1650),military conflict,30935,121669,7,94,"800-3,000 killed {{sfn|Reid|2004|p|=|81}} <br>10,000 prisoners {{sfn|Reid|2004|p|=|81}}",Dunbar  Q1002133,1650.0,False
1057632,Second English Civil War,military conflict,28600,193227,3,173,,England  Q21,1649.0,False
1058064,Paraguayan Civil War (1947),military conflict,4536,33636,0,44,,Paraguay  Q733,1947.0,False
1058134,Old Zürich War,military conflict,6584,22038,1,80,,Swiss  plateau,1446.0,False
1059050,Greensboro massacre,civilian attack,42774,352595,39,159,+5,Greensboro  Q49238,1979.0,False
1059855,Tuscarora War,military conflict,12464,93932,6,75,,Eastern  North  Carolina  Q5330337,1715.0,False
1060528,Third English Civil War,military conflict,38601,137452,15,216,,British  Isles  Q38272,1651.0,False
1061749,Battle of Nicopolis,military conflict,56957,343050,50,277,"Moderate casualties, including the massacre of ~1,000 civilian hostages (Turkish and Bulgarian) by the Crusaders the night before the battle.",Nikopol  Q409102,1396.0,False
1063259,Battle of Dinwiddie Court House,military conflict,81818,20277,179,177,'''354''',Dinwiddie  County  Q340606,1865.0,False
1063738,First English Civil War,military conflict,133667,343636,2,488,,England  and  Wales  Q1156248,1646.0,False
1064035,Siege of Derry,military conflict,9839,106691,5,68,About 4000,Derry  Q163584,1689.0,False
1066080,Battle of Elasa,military conflict,6053,21837,9,31,Unknown,Elasa|near  modern- day  Ramallah,160.0,False
1067633,Battle of Gazala,military conflict,56418,257287,72,227,"German: 3,360 killed, wounded or captured<br />Italian: fewer than the Germans<br />~400 tanks damaged or destroyed",Gazala  Q1496620,1942.0,False
1068163,Battle of St. Jakob an der Birs,military conflict,8386,19656,5,60,"2,000",Basel  Q78,1444.0,False
1069323,Leisler's Rebellion,civil conflict,33663,99556,77,114,,Province  of  New  York,1691.0,False
1069846,Goliad Campaign,military conflict,18399,28311,23,91,"est. 350 killed, wounded or missing",Texas  Gulf  Coast,1836.0,False
1069883,Battle of Coleto,military conflict,16619,81258,1,64,"100–200 killed, wounded or missing",Goliad  County  Q27233,1836.0,False
1070959,First Carlist War,military conflict,46669,139803,20,272,"Carlists: 15,000–60,000",Spain  Q29,1839.0,False
1070960,Mithridatic Wars,military conflict,14512,109397,5,56,,Eastern  Mediterranean  region,63.0,False
1071805,Guinea-Bissau Civil War,military conflict,17751,52597,11,80,Unknown,Guinea- Bissau  Q1007,1999.0,False
1071844,Operation Chopper (Vietnam),military conflict,2517,24315,3,20,None,South  Vietnam  Q180573,1962.0,False
1072283,Brown's Chicken massacre,civilian attack,11261,293267,14,50,+7,Palatine  Q998726,1993.0,False
1072313,March Against Fear,civil conflict,15456,66353,11,81,,Memphis|Tennessee|Mississippi  Delta|Jackson|Mississippi,1966.0,False
1075246,Assyrian siege of Jerusalem,military conflict,13245,52224,6,100,"''Unknown''<br/>'''Ancient Sources:'''
*185,000 (According to the Biblical account)",City  of  David Jerusalem|Israel,701.0,False
1075807,Battle of Mobile Bay,military conflict,46567,300850,66,139,151 killed<br/>177 wounded<br/>1 ironclad sunk,Mobile  Bay  Q1544796,1864.0,False
1076315,Battle of Prachuap Khiri Khan,military conflict,8388,8364,3,37,42 killed<br>27 wounded<br>3 aircraft destroyed,Prachuap  Khiri  Khan  Q373340,1941.0,False
1078676,Burundian Civil War,military conflict,19489,126894,22,77,,Burundi  Q967,2005.0,False
1079076,Farhud,civilian attack,35802,98361,38,108,175 - 780 Jews killed,Baghdad  Q1530,1941.0,False
1080139,Battle of Hopton Heath,military conflict,3856,17607,0,31,,Hopton  Heath  Q5901344,1643.0,False
1081569,Haifa Oil Refinery massacre,civilian attack,5902,14434,6,29,+39,Oil  Refineries  Ltd  Q636231,1947.0,False
1082829,Burgundian Wars,military conflict,9196,123068,1,88,,Duchy  of  Lorraine  Q155019,1477.0,False
1082877,Battle of Cape Kaliakra,military conflict,5846,14824,1,57,17 killed and 28 wounded<br /> 1 frigate damaged,Kaliakra  Q1648563,1791.0,False
1085227,Soviet invasion of Manchuria,military conflict,36746,664061,30,275,"'''Soviet Union:'''<br />12,031 killed<br />24,425 wounded <br />300+ tanks destroyed <br />'''Mongolia:'''<br />72 killed<br />125 wounded",Manchuria  Q81126,1945.0,False
1086813,Battle of Ortona,military conflict,12164,207057,13,65,"1,375 killed (including Moro River battles) <br /> 964 wounded {{#tag:ref|Mainly Canadian. Includes losses to the Loyal Edmonton Regiment of 172 casualties, of which 63 killed; the Seaforth Highlanders 103, of which 41 killed.|ref|{{Cite web| author=Landry, Pierre| editor=Beauregard, Marc| url=http://www.junobeach.org/e/2/can-eve-rod-ita-ort-e.htm| title=Juno Beach Center: The Capture of Ortona| year=2003| accessdate=2007-09-27| archiveurl= https://web.archive.org/web/20070927215107/http://www.junobeach.org/e/2/can-eve-rod-ita-ort-e.htm| archivedate= 27 September 2007 | deadurl= no}}|</ref>| Sources are often confused between figures for the eight days of fighting at Ortona and those for the whole of the December campaign. Zuehlke gives Canadian losses for this period of 1375 dead and 964 wounded|ref| name=""CCas""| while the Canadiansoldiers.com website says casualties for Canadian 1st Infantry Division in December (including 1st Brigade's crossing of the Moro, 2nd Brigade's fighting in the town and 3rd Brigade's attempted outflanking attack) totaled 4,206 including 695 killed.|ref|{{Cite web| url= http://www.canadiansoldiers.com/mediawiki-1.5.5/index.php?title=Ortona|title=Canadiansoldiers.com: Ortona| accessdate=2007-09-27 |archiveurl = https://web.archive.org/web/20070926225422/http://www.canadiansoldiers.com/mediawiki-1.5.5/index.php?title=Ortona |archivedate = 2007-09-26}}|</ref>|group|=|nb}} Sources are often confused between figures for the eight days of fighting at Ortona and those for the whole of the December campaign. Zuehlke gives Canadian losses for this period of 1375 dead and 964 wounded while the Canadiansoldiers.com website says casualties for Canadian 1st Infantry Division in December (including 1st Brigade's crossing of the Moro, 2nd Brigade's fighting in the town and 3rd Brigade's attempted outflanking attack) totaled 4,206 including 695 killed.",Ortona  Q51256,1943.0,False
1088850,1978 South Lebanon conflict,military conflict,19681,107817,17,92,18 killed<br>113 wounded,Southern  Lebanon  Q1480109,1978.0,False
1090694,Norwegian Campaign,military conflict,134774,517217,122,720,"'''Official German figures:'''<br />5,296<br />(1,317 killed on land,<br />2,375 lost at sea,<br />1,604 wounded)<br />'''Material losses:'''<br />1 heavy cruiser<br />2 light cruisers<br />10 destroyers<br />6 U-boats<br />2 torpedo boats<br />15 light naval units<br />21 transports/merchant ships<br />90–240 aircraft",Norway  Q20,1940.0,False
1090966,Anglo-Spanish War (1585–1604),military conflict,60375,502350,71,348,,Atlantic  Ocean  Q97,1604.0,False
1091978,Battle of Tendra,military conflict,5696,8865,1,15,"25 killed, 25 wounded",Tendra  Spit  Q4454640,1790.0,False
1094840,First Battle of Newbury,military conflict,39259,55465,0,92,"1,300",Newbury  Q655874,1643.0,False
1095061,Second Battle of Newbury,military conflict,14582,58895,0,81,"2,000",Newbury  Q655874,1644.0,False
